num,type,position,size,angle,response,octave,class_id
example = ,< cv2.KeyPoint 00000166543A7540>
1,<class 'cv2.KeyPoint'>,"(3.087204694747925, 9.80228042602539)",2.549755334854126,277.46783447265625,0.028533169999718666,2,-1
2,<class 'cv2.KeyPoint'>,"(5.3025407791137695, 52.30880355834961)",2.5379951000213623,81.43923950195312,0.028763657435774803,2,-1
3,<class 'cv2.KeyPoint'>,"(5.402262210845947, 6.726171016693115)",2.3668410778045654,277.3698425292969,0.03934963047504425,2,-1
4,<class 'cv2.KeyPoint'>,"(9.149396896362305, 14.015782356262207)",2.01391339302063,262.5224304199219,0.016355425119400024,1,-1
5,<class 'cv2.KeyPoint'>,"(10.415637016296387, 51.72694396972656)",2.409069061279297,78.9886474609375,0.02533993311226368,2,-1
6,<class 'cv2.KeyPoint'>,"(13.620758056640625, 58.3923454284668)",2.9051969051361084,266.0008239746094,0.033503416925668716,3,-1
7,<class 'cv2.KeyPoint'>,"(15.217077255249023, 4.462479114532471)",1.8729584217071533,253.2494354248047,0.03919103741645813,1,-1
8,<class 'cv2.KeyPoint'>,"(15.65631103515625, 54.490211486816406)",2.6278774738311768,79.85726928710938,0.05106251314282417,2,-1
9,<class 'cv2.KeyPoint'>,"(17.575590133666992, 45.90418243408203)",2.4612300395965576,92.43759155273438,0.01270412839949131,2,-1
10,<class 'cv2.KeyPoint'>,"(17.71756362915039, 9.10148811340332)",5.740005016326904,259.0461120605469,0.024794239550828934,3,-1
11,<class 'cv2.KeyPoint'>,"(19.353988647460938, 6.329960346221924)",2.278183698654175,270.7591552734375,0.033962592482566833,2,-1
12,<class 'cv2.KeyPoint'>,"(22.02745819091797, 53.50519943237305)",2.9016590118408203,82.796875,0.0604240857064724,3,-1
13,<class 'cv2.KeyPoint'>,"(23.400617599487305, 3.581247568130493)",2.509775400161743,271.9295654296875,0.03510429710149765,2,-1
14,<class 'cv2.KeyPoint'>,"(25.753694534301758, 55.457801818847656)",1.945212721824646,278.1337890625,0.04333583265542984,1,-1
15,<class 'cv2.KeyPoint'>,"(26.35377311706543, 6.03067684173584)",1.9327095746994019,263.12542724609375,0.025515522807836533,1,-1
16,<class 'cv2.KeyPoint'>,"(29.035982131958008, 52.52302551269531)",3.2745933532714844,80.49984741210938,0.04783497378230095,3,-1
17,<class 'cv2.KeyPoint'>,"(29.99323272705078, 7.219559192657471)",4.027707576751709,262.2039794921875,0.029457267373800278,1,-1
18,<class 'cv2.KeyPoint'>,"(31.5384521484375, 55.14308166503906)",1.9122374057769775,265.6598205566406,0.022258823737502098,1,-1
19,<class 'cv2.KeyPoint'>,"(37.146244049072266, 51.11713409423828)",2.9911694526672363,78.90185546875,0.04271223396062851,3,-1
20,<class 'cv2.KeyPoint'>,"(37.58399200439453, 54.55337905883789)",2.319648265838623,257.6277770996094,0.03919344022870064,2,-1
21,<class 'cv2.KeyPoint'>,"(37.595680236816406, 47.37248992919922)",2.246546745300293,79.00686645507812,0.030613133683800697,1,-1
22,<class 'cv2.KeyPoint'>,"(39.38595199584961, 5.61920166015625)",4.255764961242676,257.75604248046875,0.02504708245396614,1,-1
23,<class 'cv2.KeyPoint'>,"(43.73046875, 60.44706344604492)",2.3757102489471436,115.29924011230469,0.027299581095576286,2,-1
24,<class 'cv2.KeyPoint'>,"(43.73046875, 60.44706344604492)",2.3757102489471436,288.9986572265625,0.027299581095576286,2,-1
25,<class 'cv2.KeyPoint'>,"(50.84727096557617, 45.173885345458984)",3.006763219833374,82.92340087890625,0.04344259947538376,3,-1
26,<class 'cv2.KeyPoint'>,"(52.05433654785156, 49.21885681152344)",3.515279769897461,83.84442138671875,0.059353362768888474,3,-1
27,<class 'cv2.KeyPoint'>,"(52.52012634277344, 53.163639068603516)",2.305137872695923,254.21762084960938,0.044954873621463776,2,-1
28,<class 'cv2.KeyPoint'>,"(53.40781784057617, 60.785552978515625)",2.5202713012695312,150.0507354736328,0.015002094209194183,2,-1
29,<class 'cv2.KeyPoint'>,"(56.581329345703125, 44.476318359375)",2.731874942779541,82.05111694335938,0.025655698031187057,2,-1
30,<class 'cv2.KeyPoint'>,"(58.18042755126953, 48.696189880371094)",4.096096515655518,258.2752685546875,0.0514141246676445,1,-1
